"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"340","PRR16","22",1.72606306266238,1.47377085230664,19478210.5,0.889273720770887,3.81651419574744e-285,2.03083455380773e-282,87.2023809523809,18.5583457331758
"341","VWC2L","22",1.61861702057233,1.42836375260818,19469546,0.888878144793637,0,0,86.9047619047619,12.3057571062603
"342","TOX","22",2.25433412287784,1.70626857775842,19422953.5,0.886750973725483,2.16657292127002e-198,5.65350537859863e-196,93.4523809523809,30.1845403365599
"343","TRMT9B","22",1.41385926603045,1.2273189979553,19391275.5,0.885304721107636,4.60988087016667e-314,2.71962928379522e-311,85.4166666666667,16.0057678442682
"344","CNTN4","22",2.4570948078957,1.7251968792901,19372291,0.884437987638873,6.04369464315426e-173,1.24252867595394e-170,97.9166666666667,37.0522634186749
"345","GHR","22",1.63616400056665,1.40089291709348,19321199,0.882105392817515,1.15745869529674e-281,6.04059886018518e-279,85.4166666666667,17.9892313120312
"346","EML6","22",1.95272740190915,1.38652732800644,19316160,0.881875338302036,2.26763192176898e-171,4.59246232037064e-169,94.9404761904762,36.8037552347789
"347","ARPP21","22",2.42876335970805,1.56985769010765,19278207,0.88014260184124,2.27177724985081e-154,3.64801721931664e-152,98.2142857142857,44.0488425961435
"348","PTPRR","22",1.65843727582578,1.31616935427515,19263223,0.879458510382631,3.09046882995051e-227,1.06163472287591e-224,91.0714285714286,23.4594793600147
"349","RANBP17","22",1.55646329762737,1.27952464413053,19262944.5,0.879445795522032,3.33988188235004e-246,1.46189862134218e-243,88.0952380952381,21.049563576677
"350","GRIP1","22",2.58603403903079,1.86131666458884,19222853,0.877615426280654,4.66031480669928e-173,9.6543223835271e-171,96.7261904761905,34.831029774962
"351","AC090568.2","22",1.77378448584406,1.43672033214881,19211001,0.877074325642144,2.73882030580741e-229,9.52898787935917e-227,88.6904761904762,22.7875868628143
"352","CHSY3","22",2.35164890557703,1.62441786922797,19168307.5,0.875125162622382,3.88415163178808e-163,7.027207132231e-161,95.8333333333333,37.7210879136051
"353","PAK5","22",1.65434495647938,1.24470161876494,19154653,0.874501769214643,3.75004277225617e-186,9.08648756727572e-184,91.0714285714286,30.1968123456411
"354","GRM5","22",2.78832623342787,1.78570798076076,19106586.5,0.872307302977642,7.02373554079142e-150,1.08301213128408e-147,98.8095238095238,43.0210618355858
"355","CDH13","22",2.3849603507948,1.65043736344467,19051491,0.869791929181742,6.49342976595675e-157,1.08776973449713e-154,94.3452380952381,38.4558744573471
