"","AD","HC"
"TMEFF2",-0.029630102814874,0.0244525314352777
"HECW2",-0.0440046289704813,0.0363152493907451
"ICA1L",-0.0932998763321208,0.0769966332269418
"NDUFS1",-0.0248762708110374,0.0205293851931262
"MAP2",-0.0653710622364151,0.0539481069059549
"ERBB4",-0.0279833461058009,0.0230935293944712
"IGFBP5",0.0582569586059745,-0.0480771234758696
"TNS1",0.0104261607473601,-0.00860429088000977
"TMBIM1",-0.0286644562431134,0.0236556221805736
"CYP27A1",-0.00290678835973056,0.00239885545407997
"MRPL44",0.00208872646820316,-0.00172374189661817
"IRS1",0.0201960256270663,-0.0166669671920339
"COL4A4",-0.0142092224068957,0.0101542572754195
"MFF",-0.00644801711467949,0.00532128903419697
"INPP5D",0.0563901124249793,-0.0465364904510758
"NDUFA10",0.0062730643937403,-0.00517690759433653
"PPP1R7",0.0160728010083361,-0.0132642358470374
"SUMF1",-0.018154600422289,0.0149822611245339
"ITPR1",0.0288981860485277,-0.0238485099828089
"ATP2B2",-0.0611029683895753,0.0504258208169981
"SYN2",-0.0366104931401334,0.0302131666555909
"PPARG",0.0334032663357785,-0.0275663714438903
"KAT2B",0.00381425821887691,-0.00314775380912179
"TGFBR2",0.0656060369285193,-0.0541420220631621
"PLCD1",-0.0458893822424722,0.0378706604171331
"CX3CR1",0.0355173153603949,-0.029311011027226
"MOBP",-0.0143518244930015,0.0118439831870488
"CDCP1",0.0431752603011975,-0.04010622160458
"MAP4",-0.053266098633129,0.0439583675897385
"PLXNB1",-0.0224120896675389,0.018495795662576
"UQCRC1",-0.0121012868009771,0.00998670499919613
"LAMB2",-0.0100328246627726,0.00788810193674167
"DAG1",-0.0198536007286392,0.0163843777037417
"BSN",-0.0168423417883399,0.0138993068838177
