"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"307","ABCB1","7",1.60087651598605,1.56513341631905,13956187,0.75299483550445,0,0,52.2404371584699,3.14968404423381
"308","VWF","7",1.53413663179953,1.49381045957507,13906443.5,0.750310965003151,0,0,51.9125683060109,3.43108214849921
"309","ARHGAP29","7",1.26378843070374,1.18211366549746,13805094.5,0.744842761289376,0,0,53.0054644808743,7.3904028436019
"310","SYNE2","7",1.19682106557937,1.10009828286491,13614207.5,0.734543606859521,0,0,51.9125683060109,8.55055292259084
"311","HLA-E","7",1.20810905898834,1.08272680365119,13588350,0.733148486261104,0,0,52.4590163934426,9.04917061611375
"312","BSG","7",1.45948483160658,1.16755963365483,13555886,0.731396917273112,7.83179328798172e-217,1.27592179325408e-214,58.7978142076503,22.9364139020537
"313","UTRN","7",1.67568111170088,1.18204882405751,13502195.5,0.728500089563964,5.21627709726244e-171,6.38321257096676e-169,62.2950819672131,32.1929304897314
"314","ELOVL7","7",1.4975949847306,1.34645266035159,13375687.5,0.721674452257012,1.25315239066783e-308,3.53023471387717e-306,51.0382513661202,12.4259478672986
"315","NXPH1","8",2.43119647069283,2.02847213539584,11616583,0.872195857607958,0,0,86.1325115562404,19.0770880031186
"316","ZNF385D","8",2.32108562014304,1.90291550387031,11485398.5,0.862346267803247,0,0,84.5916795069337,24.7880323555209
"317","KCNC2","8",1.9497016140633,1.49164361427729,11461675.5,0.860565098389657,0,0,88.597842835131,27.6337588928954
"318","SNRPN","8",1.69253663738413,1.36439689365049,11407917,0.856528804669618,0,0,84.5916795069337,21.5476074456681
